datetime,maximum_2m_air_temperature,minimum_2m_air_temperature
2018-04-14,292.7240295410156,287.20159912109375
2018-04-15,291.8702087402344,283.97503662109375
2018-04-16,295.944580078125,285.0693359375
2018-04-17,290.920166015625,284.985595703125
2018-04-18,292.94879150390625,284.7997741699219
2018-04-19,294.0694274902344,284.85382080078125
2018-04-20,295.1994323730469,284.55889892578125
2018-04-21,298.0541687011719,284.7010192871094
2018-04-22,299.1034851074219,285.8211364746094
2018-04-23,300.825927734375,286.0466613769531
2018-04-24,304.6631774902344,286.607421875
2018-04-25,303.77581787109375,289.61199951171875
2018-04-26,299.4212341308594,289.227783203125
2018-04-27,295.8074951171875,287.8630676269531
2018-04-28,295.2425842285156,285.51165771484375
2018-04-29,301.0020751953125,283.8263854980469
2018-04-30,295.9286193847656,285.24859619140625
2018-05-01,297.42095947265625,287.38165283203125
2018-05-02,287.54595947265625,284.6125793457031
2018-05-03,292.6331481933594,284.39105224609375
2018-05-04,293.1190490722656,285.36688232421875
2018-05-05,294.45697021484375,283.56072998046875
2018-05-06,294.1371765136719,286.54547119140625
2018-05-07,296.6426086425781,285.812255859375
2018-05-08,295.2816162109375,286.28997802734375
2018-05-09,293.98333740234375,286.95574951171875
2018-05-10,297.5853271484375,286.7841491699219
2018-05-11,298.05841064453125,286.8370361328125
2018-05-12,299.9601135253906,288.57940673828125
2018-05-13,299.0146789550781,288.1175537109375
2018-05-14,294.08294677734375,287.135498046875
2018-05-15,295.23419189453125,285.5395202636719
2018-05-16,297.2362365722656,285.06689453125
2018-05-17,298.57904052734375,286.5285949707031
2018-05-18,297.7743225097656,287.8891296386719
2018-05-19,298.3157958984375,286.55963134765625
2018-05-20,298.7208557128906,287.5726318359375
2018-05-21,298.26611328125,289.4832763671875
2018-05-22,294.7216491699219,286.24908447265625
2018-05-23,299.87603759765625,285.0067443847656
2018-05-24,303.54608154296875,287.67376708984375
2018-05-25,305.70721435546875,289.17010498046875
2018-05-26,306.73907470703125,289.29522705078125
2018-05-27,310.4383850097656,293.5789489746094
2018-05-28,304.4154052734375,292.1512451171875
2018-05-29,301.3071594238281,292.1407775878906
2018-05-30,300.5812072753906,290.93524169921875
2018-05-31,304.3766784667969,289.8883972167969
2018-06-01,303.6390075683594,289.805908203125
2018-06-02,305.6312561035156,290.81866455078125
2018-06-03,307.2069396972656,291.8480224609375
2018-06-04,301.1771240234375,291.15106201171875
2018-06-05,305.2125244140625,289.2450256347656
2018-06-06,302.4208679199219,291.2413635253906
2018-06-07,300.4258728027344,289.61614990234375
2018-06-08,301.0345153808594,290.3926696777344
2018-06-09,308.3247985839844,289.0829162597656
2018-06-10,312.2437744140625,293.2343444824219
2018-06-11,303.65521240234375,292.33990478515625
2018-06-12,303.9549560546875,292.02252197265625
2018-06-13,301.0833435058594,292.0741271972656
2018-06-14,299.1403503417969,290.8878173828125
